,strain,carbon_source,aMG,ACE,qACE,source
1,E_coli_K12_MG1655_wt,glucose,0,0.452,1.517,Enjalbert_2017
2,E_coli_K12_MG1655_wt,glucose,0,1.116,1.2685,Enjalbert_2017
3,E_coli_K12_MG1655_wt,glucose,0,0.4784,1.9847,Enjalbert_2017
4,E_coli_K12_MG1655_wt,glucose,100,0.1034,-0.0241,this_study
5,E_coli_K12_MG1655_wt,glucose,100,0.1343,-0.0376,this_study
6,E_coli_K12_MG1655_wt,glucose,100,0.2002,0,this_study
7,E_coli_K12_MG1655_wt,glucose,0,0.2267,2.3754,this_study
8,E_coli_K12_MG1655_wt,glucose,10,0.2858,1.7671,this_study
9,E_coli_K12_MG1655_wt,glucose,20,0.2793,1.2489,this_study
10,E_coli_K12_MG1655_wt,glucose,30,0.4247,0.1243,this_study
11,E_coli_K12_MG1655_wt,glucose,40,0,0,this_study
12,E_coli_K12_MG1655_wt,glucose,50,0,0,this_study
13,E_coli_K12_MG1655_wt,glucose,100,0,0,this_study
14,E_coli_K12_MG1655_wt,glucose,40,0.2132,-0.0993,this_study
15,E_coli_K12_MG1655_wt,glucose,20,0.3457,0.842,this_study
16,E_coli_K12_MG1655_wt,glucose,0,30.8668,-1.5253,Enjalbert_2017
17,E_coli_K12_MG1655_wt,glucose,0,33.5324,-1.1208,Enjalbert_2017
18,E_coli_K12_MG1655_wt,glucose,0,30.2457,-1.318,Enjalbert_2017
19,E_coli_K12_MG1655_wt,glucose,0,30.5893,-1.3015,this_study
20,E_coli_K12_MG1655_wt,glucose,10,31.9411,-2.2061,this_study
21,E_coli_K12_MG1655_wt,glucose,20,32.6493,-3.8321,this_study
22,E_coli_K12_MG1655_wt,glucose,30,32.0145,-5.0088,this_study
23,E_coli_K12_MG1655_wt,glucose,40,31.6758,-5.1172,this_study
24,E_coli_K12_MG1655_wt,glucose,50,31.8723,-7.5214,this_study
25,E_coli_K12_MG1655_wt,glucose,80,30.9725,-8.0634,this_study
26,E_coli_K12_MG1655_wt,glucose,100,30.9422,-9.9057,this_study
27,E_coli_K12_MG1655_wt,glucose,100,32.6406,-9.5436,this_study
28,E_coli_K12_MG1655_wt,glucose,40,36.1861,-7.44,this_study
29,E_coli_K12_MG1655_wt,glucose,0,0.4051,2.6504,this_study
30,E_coli_K12_MG1655_wt,glucose,10,0.3263,1.8987,this_study
31,E_coli_K12_MG1655_wt,glucose,20,0.4283,0.5781,this_study
32,E_coli_K12_MG1655_wt,glucose,50,0.1006,0.0255,this_study
33,E_coli_K12_MG1655_wt,glucose,75,0.0307,0,this_study
34,E_coli_K12_MG1655_wt,glucose,100,0.1201,0,this_study
35,E_coli_K12_MG1655_wt,glucose,40,35.3732,-7.4422,this_study
