,ace_concentration,mu_mean_glc=20%,mu_sd_glc=20%,mu_mean_glc=100%,mu_sd_glc=100%
1,0.1,0.113400374846263,0.00606007128377383,0.556950831139744,0.0272824613072323
2,0.115139539932645,0.114770389172415,0.00584173887375155,0.557549841032855,0.0268887325714136
3,0.132571136559011,0.116329651512139,0.00563078874407218,0.55822858530082,0.0264494378951199
4,0.152641796717523,0.118101392854701,0.00544197560683483,0.558995918619529,0.0259614414005412
5,0.175751062485479,0.120110830155773,0.00529561599274115,0.559861149640771,0.0254220196625436
6,0.202358964772516,0.122385074104976,0.00521749116717822,0.560833891229886,0.0248290848262623
7,0.232995181051537,0.124952939731386,0.00523677244315922,0.561923845317362,0.0241814516721696
8,0.268269579527973,0.127844635200037,0.00538135231129772,0.563140508841747,0.0234791477001705
9,0.308884359647748,0.131091302736062,0.00567164044995943,0.56449278708767,0.0227237610549705
10,0.355648030622313,0.134724385959791,0.00611577450597716,0.565988501684682,0.0219188150254412
11,0.409491506238043,0.138774800882357,0.00670877786411822,0.567633783081787,0.021070149365745
12,0.471486636345739,0.143271894346032,0.00743529667069577,0.569432341919703,0.0201862770843403
13,0.542867543932386,0.148242184720268,0.00827344154357161,0.571384620806988,0.0192786697833206
14,0.625055192527397,0.153707895889166,0.00919774722114152,0.573486837830428,0.0183619044567135
15,0.719685673001152,0.15968531720806,0.0101807876424089,0.5757299456708,0.0174535804594443
16,0.828642772854684,0.166183048570272,0.0111938853805495,0.578098544996713,0.0165738914136706
17,0.954095476349994,0.173200219268871,0.012207488023645,0.580569806859292,0.0157447254849554
18,1.09854114198756,0.180724798838234,0.0131916063153969,0.583112474477615,0.0149881941433637
19,1.2648552168553,0.188732143000461,0.0141165136472975,0.585686027896269,0.014324591508281
20,1.45634847750124,0.197183932679444,0.0149537704508414,0.588240102980966,0.0137699917827002
21,1.67683293681101,0.20602766304792,0.0156775505778453,0.590714256636674,0.0133339703003336
22,1.93069772888325,0.215196818106296,0.0162661890288871,0.593038161157514,0.0130181464335551
23,2.22299648252619,0.224611822350846,0.0167038290744889,0.595132291651158,0.0128161887775891
24,2.55954792269954,0.234181796656556,0.0169820173598957,0.596909142612369,0.0127154979250283
25,2.94705170255181,0.243807067212435,0.0171010763225603,0.598274975835954,0.0127001670247129
26,3.39322177189533,0.253382294995272,0.0170710711249896,0.599132066245063,0.0127543748028212
27,3.90693993705462,0.262800021972049,0.0169121768597568,0.599381379641779,0.0128653206761947
28,4.49843266896945,0.271954381578204,0.0166542335454468,0.598925590883067,0.0130250958345341
29,5.17947467923121,0.280744703978665,0.0163352530527587,0.597672334597392,0.0132312624131138
30,5.96362331659464,0.289078764082122,0.0159986443694835,0.595537572624846,0.0134862130686298
31,6.866488450043,0.296875468257755,0.0156890325032759,0.592448959597075,0.0137955734522458
32,7.9060432109077,0.304066844370071,0.0154468782974244,0.58834908558351,0.0141660313898265
33,9.10298177991522,0.310599276040562,0.0153027037174734,0.583198467814452,0.0146030563612796
34,10.4811313415469,0.316433992962635,0.0152723670160994,0.576978149701482,0.0151089927283034
35,12.0679264063933,0.32154688464106,0.0153549912211498,0.569691746235248,0.0156819335524932
36,13.8949549437314,0.325927739902214,0.0155344182205914,0.561366756570869,0.0163156048321008
37,15.9985871960606,0.329579028861991,0.0157837308145956,0.552054957401899,0.0170002644030058
38,18.4206996932672,0.332514341853921,0.0160713511273699,0.541831706414312,0.0177244240396821
39,21.2095088792019,0.334756587640332,0.0163671095242936,0.530794033605196,0.0184770896929863
40,24.4205309454865,0.336336038019598,0.016647297669176,0.519057483502971,0.01925018343307
41,28.1176869797423,0.337288293354629,0.0168984650501801,0.506751788177591,0.0200408265635083
42,32.3745754281764,0.33765223672002,0.0171201684837275,0.494015584147453,0.0208531905916098
43,37.2759372031494,0.337468043454003,0.0173269555562807,0.480990512746178,0.0216996464353402
44,42.9193426012878,0.336775315431209,0.0175496335211608,0.467815137427753,0.0226009722489052
45,49.4171336132383,0.335611411334141,0.0178354418744839,0.45461915139385,0.0235854438405223
46,56.8986602901829,0.334010041582606,0.0182462594655218,0.441518324048809,0.0246867598336145
47,65.5128556859551,0.332000186803763,0.0188537765784164,0.428610548480616,0.0259409583798285
48,75.4312006335462,0.329605381461505,0.0197311816242602,0.415973221026973,0.0273827279209993
49,86.8511373751352,0.326843381338083,0.0209425863941192,0.403662032969519,0.0290417084300533
50,100,0.323726208071494,0.0225332703030571,0.391711109824931,0.0309394109684232
